repository_name,release_id,tag_name,release_name,release_date,prerelease_flag,draft_flag,target_commitish,release_notes,previous_release_tag,tag_name_clean,is_stable
microsoft/vscode,37367812,1.53.0,January 2021,2021-02-04 17:41:43+00:00,False,False,master,"Welcome to the January 2021 release of Visual Studio Code. There are a number of updates in this version that we hope you will like, some of the key highlights include:

* **[Wrap tabs](https://code.visualstudio.com/updates/v1_53#wrap-tabs)** - Wrap editor tabs in the workbench instead of having a scrollbar.
* **[Configure tab decorations](https://code.visualstudio.com/updates/v1_53#tab-decorations)** - Add editor tab status decorations.
* **[Customize search mode](https://code.visualstudio.com/updates/v1_53#default-search-mode)** - Use the Search view or open a new Search editor.
* **[JavaScript debugging](https://code.visualstudio.com/updates/v1_53#javascript-debugger)** - Support for conditional exception breakpoints and Node.js worker_threads.
* **[Notebook UX updates](https://code.visualstudio.com/updates/v1_53#notebooks)** - Outline view for Notebook cells, and breadcrumbs for improved navigation.
* **[Markdown preview image auto update](https://code.visualstudio.com/updates/v1_53#markdown-preview-auto-updates-when-images-are-changed-on-disk)** - Preview automatically updates when images change.
* **[Emmet improvements](https://code.visualstudio.com/updates/v1_53#emmet-performance-and-feature-improvements)** - Faster performance and supporting the latest features.
* **[Extension guidelines](https://code.visualstudio.com/updates/v1_53#extension-guidelines)** - Documented best practices for extension authors.
* **[Remote Development video series](https://code.visualstudio.com/updates/v1_53#documentation)** - Learn to create and configure container-based environments.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).

**Join us live** at the [VS Code team's livestream](https://code.visualstudio.com/livestream) on Tuesday, February 9 at 8am Pacific (4pm London) to see a demo of what's new in this release, and ask us questions live.

**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available.",1.52.1,1.53.0,True
microsoft/vscode,37817301,1.53.1,January 2021 Recovery,2021-02-09 18:20:49+00:00,False,False,master,"The update addresses these security [issues](https://github.com/microsoft/vscode/milestone/143).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_53) on code.visualstudio.com.",1.53.0,1.53.1,True
microsoft/vscode,37943605,1.53.2,January 2021 Recovery 2,2021-02-11 20:56:47+00:00,False,False,master,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22January+2021+Recovery+2%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_53) on code.visualstudio.com.",1.53.1,1.53.2,True
microsoft/vscode,39294083,1.54.0,February 2021,2021-03-04 18:22:34+00:00,False,False,main,"<!-- DOWNLOAD_LINKS_PLACEHOLDER -->

Welcome to the February 2021 release of Visual Studio Code. There are a number of updates in this version that we hope you will like, some of the key highlights include:

* **[Apple Silicon builds](#apple-silicon)** - VS Code is now available in stable for Apple Silicon.
* **[Accessibility improvements](#accessibility)** - Better word navigation on Windows and roles for views and buttons.
* **[Persistent terminal processes](#retain-terminal-processes-on-window-reload)** - Local terminal processes are restored on window reload.
* **[Product Icon Themes](#product-icon-themes)** - Personalize your VS Code icon imagery with Product Icon Themes.
* **[Timeline view improvements](#timeline-view)** - Compare changes across Git history timeline entries.
* **[Auto reload Notebooks](#automatically-reload-notebooks)** - Notebooks automatically reload when their file changes on disk.
* **[Remote ports table view](#table-widget)** - Remote ports now shown in a table widget.
* **[Brackets extensions](#brackets)** - Use Brackets keyboard shortcuts in VS Code.
* **[Troubleshooting extensions blog post](#troubleshooting-extensions-blog-post)** - Learn to troubleshoot extensions using extension bisect.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).

**Join us live** at the [VS Code team's livestream](https://code.visualstudio.com/livestream) on Thursday, March 11 at 8am Pacific (4pm London) to see a demo of what's new in this release, and ask us questions live.

**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available.
",1.53.2,1.54.0,True
microsoft/vscode,39312361,1.54.1,February 2021 Recovery,2021-03-05 00:16:33+00:00,False,False,main,"The update addresses an [issue](https://github.com/microsoft/vscode/milestone/147) with an extension dependency.

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_54) on code.visualstudio.com.",1.54.0,1.54.1,True
microsoft/vscode,39688865,1.54.2,February 2021 Recovery 2,2021-03-12 00:06:14+00:00,False,False,main,"The update addresses these [issues](https://github.com/microsoft/vscode/milestone/146).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_54) on code.visualstudio.com.",1.54.1,1.54.2,True
microsoft/vscode,39843725,1.54.3,February 2021 Recovery 3,2021-03-15 21:12:22+00:00,False,False,main,"The update addresses this [issue](https://github.com/microsoft/vscode/milestone/149).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_54) on code.visualstudio.com.",1.54.2,1.54.3,True
microsoft/vscode,40776715,1.55.0,March 2021,2021-03-31 18:05:32+00:00,False,False,main,"Welcome to the March 2021 release of Visual Studio Code. There are a number of updates in this version that we hope you will like, some of the key highlights include:

* **[Accessibility improvements](https://code.visualstudio.com/updates/v1_55#_accessibility)** - Multi-cursor support and increased line limit.
* **[Updated icons for macOS Big Sur](https://code.visualstudio.com/updates/v1_55#_updated-brand-icons-for-macos-big-sur)** - Brand icons that match the visual style of Big Sur.
* **[Improvements to breakpoints](https://code.visualstudio.com/updates/v1_55#_improvements-to-breakpoints)** - Inline breakpoints menu, and more.
* **[Editor status decorations](https://code.visualstudio.com/updates/v1_55#_tab-decorations-on-by-default)** - Editor tab status decorations are on by default.
* **[Customize keyboard shortcuts editor](https://code.visualstudio.com/updates/v1_55#_resizing-columns-in-keyboard-shortcuts-editor)** - Resize columns in the keyboard shortcuts editor.
* **[Improved remote ports management](https://code.visualstudio.com/updates/v1_55#_remote-development)** - Port forwarding autodetection, regex naming, and more.
* **[Terminal profiles](https://code.visualstudio.com/updates/v1_55#_terminal-profiles)** - Define profiles in terminal to conveniently launch non-default shells.
* **[Notebook improvements](https://code.visualstudio.com/updates/v1_55#_notebooks)** - Multiple cell selection, and more customizable diff editor.
* **[VS Code on Raspberry Pi](https://code.visualstudio.com/updates/v1_55#_raspberry-pi)** - New topic explaining how to install VS Code on Raspberry Pi devices.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates/v1_55) on [code.visualstudio.com](https://code.visualstudio.com).

**Join us live** at the [VS Code team's livestream](https://code.visualstudio.com/livestream) on Thursday, April 8 at 8am Pacific (4pm London) to see a demo of what's new in this release, and ask us questions live.

**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available.
",1.54.3,1.55.0,True
microsoft/vscode,41141564,1.55.1,March 2021 Recovery,2021-04-08 18:25:24+00:00,False,False,main,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22March+2021+Recovery%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_55) on [code.visualstudio.com](https://code.visualstudio.com).
",1.55.0,1.55.1,True
microsoft/vscode,41368481,1.55.2,March 2021 Recovery,2021-04-13 17:06:06+00:00,False,False,main,"The update addresses these security [issues](https://github.com/microsoft/vscode/milestone/152?closed=1).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_55) on [code.visualstudio.com](https://code.visualstudio.com).",1.55.1,1.55.2,True
